TeamId,TeamName,SubmissionDate,Score
1249811,"Mathurin Aché","2018-01-10 19:00:52",0.32786
1251498,"Bibin Paul","2018-01-11 10:38:01",0.32786
1251338,Jairomateo,"2018-01-11 10:40:02",0.00305
1252589,"Bojan Tunguz","2018-01-11 19:46:26",0.32786
1252528,CVxTz,"2018-01-11 22:33:45",0.00009
1252528,CVxTz,"2018-01-12 07:20:58",0.16605
1249620,"Rajeev Pratap Singh","2018-01-12 10:11:35",0.31993
1252190,"Nastika Vidwan","2018-01-12 15:31:01",0.11636
1252190,"Nastika Vidwan","2018-01-12 15:43:43",0.32786
1254582,"林湧森 (Dyson Lin)","2018-01-12 16:33:22",0.32786
1255423,"Lex Toumbourou","2018-01-13 05:08:22",0.32786
1249708,"Anderson Banihirwe","2018-01-13 07:46:50",0.02730
1252528,CVxTz,"2018-01-13 12:45:45",0.30217
1252190,"Nastika Vidwan","2018-01-13 14:50:51",0.39020
1252190,"Nastika Vidwan","2018-01-13 18:01:16",0.39555
1252190,"Nastika Vidwan","2018-01-13 21:22:19",0.42637
1257314,CristianP,"2018-01-14 01:02:06",0.08228
1257911,HavanAgrawal,"2018-01-14 07:07:47",0.32786
1257314,CristianP,"2018-01-14 08:28:43",0.15722
1253061,PolarBear,"2018-01-14 13:20:29",0.32786
1257471,asfd10,"2018-01-14 21:30:18",0.24657
1249620,"Rajeev Pratap Singh","2018-01-15 13:23:32",0.32485
1252190,"Nastika Vidwan","2018-01-15 14:28:57",0.42964
1252528,CVxTz,"2018-01-15 21:15:23",0.38369
1252528,CVxTz,"2018-01-15 21:44:17",0.38383
1252528,CVxTz,"2018-01-15 21:56:06",0.44548
1252528,CVxTz,"2018-01-16 07:03:28",0.46448
1249620,"Rajeev Pratap Singh","2018-01-16 13:25:47",0.32500
1252528,CVxTz,"2018-01-16 18:31:00",0.46603
1252528,CVxTz,"2018-01-16 18:39:15",0.46821
1260854,"Jesse A. Hamer","2018-01-17 04:02:23",0.10286
1253061,PolarBear,"2018-01-17 14:52:09",0.38369
1268079,"Kartik Godawat","2018-01-17 18:46:12",0.32786
1268079,"Kartik Godawat","2018-01-17 18:46:45",0.32916
1268079,"Kartik Godawat","2018-01-17 19:06:00",0.35972
1270200,"Deepak Singh Rawat","2018-01-17 20:32:48",0.38369
1271873,"Vikram Jha","2018-01-17 21:42:42",0.32786
1266919,KyoHeyyy,"2018-01-18 02:39:05",0.22479
1254582,"林湧森 (Dyson Lin)","2018-01-18 04:53:32",0.38369
1277557,"Sun Tzsu","2018-01-19 11:14:51",0.36366
1277557,"Sun Tzsu","2018-01-19 11:35:20",0.37069
1277708,3e-4,"2018-01-19 12:03:26",0.35657
1277708,3e-4,"2018-01-19 13:05:55",0.36802
1277887,"Manjeet Singh","2018-01-19 13:14:18",0.12646
1255423,"Lex Toumbourou","2018-01-21 07:01:14",0.39699
1282774,vinayviharilakamsani,"2018-01-21 12:17:52",0.32786
1255423,"Lex Toumbourou","2018-01-21 13:35:11",0.41155
1288294,JMHsi,"2018-01-24 06:56:48",0.07221
1253898,||||||||||||||||,"2018-01-24 09:34:50",0.00038
1253898,||||||||||||||||,"2018-01-24 09:39:43",0.32786
1253898,||||||||||||||||,"2018-01-24 09:41:43",0.38369
1261399,lbhpnöbhui,"2018-01-24 21:30:52",0.00266
1296213,Ryan,"2018-01-25 06:00:24",0.02730
1296213,Ryan,"2018-01-25 06:29:48",0.32786
1257983,brightness,"2018-01-26 08:06:31",0.30402
1300912,Nad13,"2018-01-26 17:41:31",0.13991
1300912,Nad13,"2018-01-26 17:45:02",0.26396
1298149,Seradja,"2018-01-26 23:06:47",0.32786
1291601,"Gabriel Preda","2018-01-27 10:28:39",0.12678
1301407,ur001,"2018-01-27 11:42:44",0.34081
1297921,"Alexander Sigachev","2018-01-27 11:47:18",0.34081
1301407,ur001,"2018-01-27 11:50:36",0.35387
1297921,"Alexander Sigachev","2018-01-27 11:52:27",0.35387
1301407,ur001,"2018-01-27 11:52:52",0.36137
1301407,ur001,"2018-01-27 11:54:06",0.37602
1297921,"Alexander Sigachev","2018-01-27 11:56:57",0.37602
